CAV,Rrup,Mw,Vs30,zh,
2.137397796,85.89940439,6.1,243.39799,1,1
1.280842226,79.4391103,6.1,363.31973,2,1
2.91397068,68.68315941,6.1,206.55794,3,1
2.581845869,49.13109787,6.1,336.31079,4,1
1.649538309,41.22424243,6.1,480.68826,5,1
3.278840441,53.04433537,6.1,243.66833,6,1
3.836408361,56.80834063,6.1,248.68715,7,1
2.391085827,78.81598153,6.1,127.1408,8,1
2.823605408,65.0173896,6.1,131.13963,9,1
4.139356413,41.61656253,6.1,245.74942,10,1
5.535681393,51.83552703,6.1,275.56555,11,1
2.435545534,58.70999868,6.1,290.70941,12,1
3.964566871,71.42686518,6.1,185.37057,13,1
3.196211315,84.13129931,6.1,171.66423,14,1
3.904023749,61.73543883,6.1,166.97049,15,1
2.71275164,77.31592145,6.1,255.86218,16,1
1.345992433,74.28284179,6.1,389.23804,17,1
2.326693556,103.0227158,6.1,144.11224,18,1
2.024934545,87.29736106,6.1,165.19353,19,1
1.774012287,90.784659,6.1,307.31921,20,1
2.184219655,66.37099102,6.1,215.21594,21,1
0.854600455,124.5912558,6.1,228.0233,22,1
0.703084206,113.7285911,6.1,432.8886,23,1
1.059327498,102.5326584,6.1,274.5092,24,1
1.576025072,99.55655595,6.1,333.0297,25,1
1.677248294,92.01696216,6.1,265.5409,26,1
1.300706756,80.24008058,6.1,307.42,27,1
1.308184887,90.71753889,6.1,203.2111,28,1
1.463926517,79.90296305,6.1,238.2027,29,1
2.323225721,74.66671572,6.1,246.7284,30,1
2.237462355,65.63063006,6.1,274.122,31,1
1.767811533,71.15303406,6.1,270.7708,32,1
1.357437351,88.08382491,6.1,218.1334,33,1
1.828595156,72.18601728,6.1,281.2124,34,1
2.516641704,58.46457397,6.1,258.5682,35,1
2.05018468,50.22864636,6.1,291.7127,36,1
1.83340068,95.15546761,6.1,136.088,37,1
2.18675711,102.8052518,6.1,119.6667,38,1
1.536011237,113.0431313,6.1,458.2165,39,1
1.847260469,146.1703796,6.1,99.70285,40,1
1.889682748,102.8698323,6.1,89.19601,41,1
2.173789187,95.12939828,6.1,156.3224,42,1
1.572826674,101.0582284,6.1,146.4362,43,1
1.693581892,93.51494683,6.1,120.869,44,1
0.929883992,174.1476313,6.1,199.3158,45,1
1.687608371,143.9488965,6.1,256.9584,46,1
0.944698137,105.4431053,6.1,363.2759,47,1
1.613030667,108.1274562,6.1,421.7628,48,1
1.075078182,127.9188268,6.1,253.933,49,1
1.060396531,118.2986363,6.1,321.4917,50,1
1.110739039,95.39574041,6.1,293.7617,51,1
1.734047772,106.2368938,6.2,144.11224,52,2
0.562393335,76.93283179,6.2,309.6915,53,2
1.7386138,61.97106975,6.2,199.3158,54,2
0.588933598,54.24100405,6.2,486.1633,55,2
0.854710786,65.36796317,6.2,211.9324,56,2
0.935544921,100.2805578,6.2,302.2495,57,2
0.95687922,58.9644653,6.2,430.6437,58,2
1.090475084,50.42430123,6.2,298.2384,59,2
5.765952204,16.53683669,6.2,264.1159,60,2
1.749998371,25.87832845,6.2,328.346,61,2
1.54269164,107.9152154,6,119.6667,62,3
1.679149607,93.52401893,6,458.2165,63,3
0.982634448,103.7011676,6,138.1374,64,3
1.439837258,84.32885687,6,99.70285,65,3
0.406109067,72.19516958,6,399.9957,66,3
0.852294404,52.97753643,6,309.6915,67,3
3.811669076,38.84098058,6,199.3158,68,3
0.98144157,38.55008143,6,486.1633,69,3
1.472763639,47.98909445,6,211.9324,70,3
0.382005311,59.65163532,6,576.5403,71,3
1.353819374,89.19367354,6,130.5803,72,3
1.317233944,89.24081534,6,224.2975,73,3
1.32070926,91.13676819,6,302.2495,74,3
0.687815313,141.7607439,6,253.933,75,3
0.847519765,118.8579862,6,278.458,76,3
2.107259692,34.05789434,6,430.6437,77,3
2.531019893,26.2979408,6,298.2384,78,3
0.855085983,34.61437632,6,328.346,79,3
0.511157271,131.6092844,5.2,346.2746,80,4
0.455899502,96.15163924,5.2,399.9957,81,4
0.485381997,96.98892704,5.2,309.6915,82,4
1.208038109,95.01690321,5.2,199.3158,83,4
0.513498088,82.92609532,5.2,486.1633,84,4
0.990322289,75.30253343,5.2,211.9324,85,4
0.393323792,71.71222465,5.2,576.5403,86,4
0.412598331,83.65425246,5.2,459.312,87,4
0.882824087,77.6109502,5.2,360.4274,88,4
0.828772684,62.66112511,5.2,323.0094,89,4
1.131004267,59.261448,5.2,369.3285,90,4
2.846595408,47.51968053,5.2,130.5803,91,4
1.081304309,47.87762897,5.2,529.2412,92,4
1.90064175,41.11313496,5.2,224.2975,93,4
1.522811681,51.89877021,5.2,308.4477,94,4
2.55698217,45.00414895,5.2,302.2495,95,4
1.283889325,34.87099675,5.2,662.6323,96,4
0.447125371,143.3641375,5.2,253.933,97,4
0.648079714,107.7521914,5.2,303.7069,98,4
0.59288693,89.01710603,5.2,455.1924,99,4
0.472918571,101.8872667,5.2,384.4722,100,4
0.404449043,76.80727869,5.2,420.9702,101,4
0.831811247,56.00982801,5.2,403.4972,102,4
0.446058806,61.92402711,5.2,526.4553,103,4
0.728773327,72.16009894,5.2,260.7138,104,4
2.343474673,51.74163758,5.2,243.39799,105,5
1.26096706,50.59959158,5.2,363.31973,106,5
2.14150521,47.77597186,5.2,206.55794,107,5
0.789801145,59.68904395,5.2,336.31079,108,5
1.201925826,52.01395626,5.2,243.66833,109,5
1.753325816,51.2880324,5.2,248.68715,110,5
1.175020345,55.20245784,5.2,127.1408,111,5
0.894365577,55.15688711,5.2,131.13963,112,5
0.517022426,66.57281083,5.2,245.74942,113,5
1.136071543,61.53984064,5.2,275.56555,114,5
1.194665391,64.0509209,5.2,185.37057,115,5
