CAV,r,m,v,,
2.137397796,0.680977785,-0.085714286,0.024039586,1,1
1.280842226,0.651464236,-0.085714286,0.283230671,2,1
2.91397068,0.596546127,-0.085714286,-0.082149165,3,1
2.581845869,0.470086415,-0.085714286,0.233249123,4,1
1.649538309,0.403851915,-0.085714286,0.464357724,5,1
3.278840441,0.499014802,-0.085714286,0.024757839,6,1
3.836408361,0.524892858,-0.085714286,0.0379493,7,1
2.391085827,0.648491582,-0.085714286,-0.396144089,8,1
2.823605408,0.575841716,-0.085714286,-0.37610716,9,1
4.139356413,0.40742729,-0.085714286,0.030260449,10,1
5.535681393,0.490313053,-0.085714286,0.104353985,11,1
2.435545534,0.537322046,-0.085714286,0.138969263,12,1
3.964566871,0.611331963,-0.085714286,-0.152173471,13,1
3.196211315,0.673126904,-0.085714286,-0.201876111,14,1
3.904023749,0.556289612,-0.085714286,-0.219813961,15,1
2.71275164,0.641238002,-0.085714286,0.056352968,16,1
1.345992433,0.626131353,-0.085714286,0.327816172,17,1
2.326693556,0.749593007,-0.085714286,-0.315072859,18,1
2.024934545,0.687071545,-0.085714286,-0.226736799,19,1
1.774012287,0.701857403,-0.085714286,0.174920113,20,1
2.184219655,0.583619775,-0.085714286,-0.055581466,21,1
0.854600455,0.821347455,-0.085714286,-0.018179249,22,1
0.703084206,0.786912524,-0.085714286,0.396588657,23,1
1.059327498,0.747793137,-0.085714286,0.101868898,24,1
1.576025072,0.736674331,-0.085714286,0.226905614,25,1
1.677248294,0.706946798,-0.085714286,0.080377185,26,1
1.300706756,0.655251222,-0.085714286,0.175132282,27,1
1.308184887,0.701578218,-0.085714286,-0.092718812,28,1
1.463926517,0.653661959,-0.085714286,0.010079292,29,1
2.323225721,0.628077037,-0.085714286,0.032832874,30,1
2.237462355,0.579385386,-0.085714286,0.100955605,31,1
1.767811533,0.609882033,-0.085714286,0.092996765,32,1
1.357437351,0.690457029,-0.085714286,-0.046869256,33,1
1.828595156,0.615322777,-0.085714286,0.117478829,34,1
2.516641704,0.535740771,-0.085714286,0.063160088,35,1
2.05018468,0.478426163,-0.085714286,0.141198437,36,1
1.83340068,0.71960709,-0.085714286,-0.352141716,37,1
2.18675711,0.74879537,-0.085714286,-0.435344298,38,1
1.536011237,0.78463052,-0.085714286,0.433379714,39,1
1.847260469,0.881643767,-0.085714286,-0.553437866,40,1
1.889682748,0.749032421,-0.085714286,-0.625489904,41,1
2.173789187,0.71950366,-0.085714286,-0.262451064,42,1
1.572826674,0.742325554,-0.085714286,-0.304722048,43,1
1.693581892,0.713042451,-0.085714286,-0.428875972,44,1
0.929883992,0.947751725,-0.085714286,-0.105241991,45,1
1.687608371,0.875862848,-0.085714286,0.059119196,46,1
0.944698137,0.758358814,-0.085714286,0.28315261,47,1
1.613030667,0.767848303,-0.085714286,0.379741687,48,1
1.075078182,0.831296829,-0.085714286,0.051455923,49,1
1.060396531,0.801784194,-0.085714286,0.204091338,50,1
1.110739039,0.720559043,-0.085714286,0.145727317,51,1
1.734047772,0.761189874,-0.028571429,-0.315072859,52,2
0.562393335,0.639363,-0.028571429,0.179895561,53,2
1.7386138,0.557727623,-0.028571429,-0.105241991,54,2
0.588933598,0.507435995,-0.028571429,0.471685753,55,2
0.854710786,0.577871611,-0.028571429,-0.065529269,56,2
0.935544921,0.739409521,-0.028571429,0.164157307,57,2
0.95687922,0.538954614,-0.028571429,0.393224514,58,2
1.090475084,0.479893693,-0.028571429,0.155513189,59,2
5.765952204,0.059049591,-0.028571429,0.076895605,60,2
1.749998371,0.228090223,-0.028571429,0.217741234,61,2
1.54269164,0.767106631,-0.142857143,-0.435344298,62,3
1.679149607,0.713079069,-0.142857143,0.433379714,63,3
0.982634448,0.752070725,-0.142857143,-0.342470476,64,3
1.439837258,0.674012261,-0.142857143,-0.553437866,65,3
0.406109067,0.615370633,-0.142857143,0.34545599,66,3
0.852294404,0.498539143,-0.142857143,0.179895561,67,3
3.811669076,0.381372854,-0.142857143,-0.105241991,68,3
0.98144157,0.378535093,-0.142857143,0.471685753,69,3
1.472763639,0.461208727,-0.142857143,-0.065529269,70,3
0.382005311,0.543328299,-0.142857143,0.582004954,71,3
1.353819374,0.695183509,-0.142857143,-0.378872745,72,3
1.317233944,0.695382966,-0.142857143,-0.028838773,73,3
1.32070926,0.703318625,-0.142857143,0.164157307,74,3
0.687815313,0.870080779,-0.142857143,0.051455923,75,3
0.847519765,0.803564814,-0.142857143,0.111110093,76,3
2.107259692,0.331766902,-0.142857143,0.393224514,77,3
2.531019893,0.234161872,-0.142857143,0.155513189,78,3
0.855085983,0.337884785,-0.142857143,0.217741234,79,3
0.511157271,0.842032943,-0.6,0.252140096,80,4
0.455899502,0.723538325,-0.6,0.34545599,81,4
0.485381997,0.726811175,-0.6,0.179895561,82,4
1.208038109,0.71905701,-0.6,-0.105241991,83,4
0.513498088,0.667680317,-0.6,0.471685753,84,4
0.990322289,0.631277811,-0.6,-0.065529269,85,4
0.393323792,0.612837033,-0.6,0.582004954,86,4
0.412598331,0.67098041,-0.6,0.434924784,87,4
0.882824087,0.642675675,-0.6,0.278059149,88,4
0.828772684,0.56190766,-0.6,0.207138658,89,4
1.131004267,0.540851064,-0.6,0.293844078,90,4
2.846595408,0.457498177,-0.6,-0.378872745,91,4
1.081304309,0.460330928,-0.6,0.526618487,92,4
1.90064175,0.402833163,-0.6,-0.028838773,93,4
1.522811681,0.490773323,-0.6,0.177291688,94,4
2.55698217,0.436967407,-0.6,0.164157307,95,4
1.283889325,0.340672972,-0.6,0.672055476,96,4
0.447125371,0.874326306,-0.6,0.051455923,97,4
0.648079714,0.766535956,-0.6,0.167269692,98,4
0.59288693,0.694435514,-0.6,0.429095339,99,4
0.472918571,0.745409591,-0.6,0.31984501,100,4
0.404449043,0.638746459,-0.6,0.378524607,101,4
0.831811247,0.519549282,-0.6,0.35109535,102,4
0.446058806,0.557440968,-0.6,0.523203552,103,4
0.728773327,0.615187219,-0.6,0.068506999,104,4
2.343474673,0.489628708,-0.6,0.024039586,105,5
1.26096706,0.481203648,-0.6,0.283230671,106,5
2.14150521,0.459528588,-0.6,-0.082149165,107,5
0.789801145,0.543564948,-0.6,0.233249123,108,5
1.201925826,0.491610184,-0.6,0.024757839,109,5
1.753325816,0.486304865,-0.6,0.0379493,110,5
1.175020345,0.514068411,-0.6,-0.396144089,111,5
0.894365577,0.513756667,-0.6,-0.37610716,112,5
0.517022426,0.584765864,-0.6,0.030260449,113,5
1.136071543,0.555091738,-0.6,0.104353985,114,5
1.194665391,0.570188465,-0.6,-0.152173471,115,5
1.0134926,0.623792128,-0.6,-0.201876111,116,5
0.935763463,0.65650817,-0.6,0.174920113,117,5
0.961974523,0.503821404,-0.6,-0.055581466,118,5
0.577577018,0.851814516,-0.6,0.590860127,119,5
0.841411934,0.747769567,-0.6,0.371660406,120,5
0.62060538,0.652160263,-0.6,0.110682522,121,5
0.601557045,0.71141445,-0.6,0.102718597,122,5
0.519845376,0.787273655,-0.6,-0.018179249,123,5
0.504776751,0.801559779,-0.6,0.396588657,124,5
0.726680134,0.759594707,-0.6,0.101868898,125,5
2.019183623,0.705716391,-0.6,0.226905614,126,5
1.368485686,0.631887853,-0.6,0.080377185,127,5
0.736262232,0.653994109,-0.6,0.377702251,128,5
0.624368295,0.676597184,-0.6,0.175132282,129,5
0.701828351,0.594147644,-0.6,0.5189383,130,5
0.988613754,0.543263803,-0.6,-0.092718812,131,5
1.097549134,0.512556854,-0.6,0.010079292,132,5
1.505033821,0.556594682,-0.6,0.032832874,133,5
2.318055642,0.590848993,-0.6,0.100955605,134,5
1.301438322,0.499689053,-0.6,0.092996765,135,5
1.312177279,0.508757189,-0.6,-0.046869256,136,5
1.829226651,0.456171763,-0.6,0.117478829,137,5
1.632770033,0.494492065,-0.6,0.063160088,138,5
0.63307652,0.599594922,-0.6,0.141198437,139,5
0.888011562,0.599748684,-0.6,-0.352141716,140,5
0.916935099,0.64698187,-0.6,-0.435344298,141,5
0.592003617,0.664490373,-0.6,0.316097452,142,5
0.659601198,0.712657829,-0.6,-0.342470476,143,5
1.361300552,0.562912013,-0.6,-0.625489904,144,5
0.515006202,0.752784337,-0.6,0.065617987,145,5
0.512418981,0.658548206,-0.6,0.670870244,146,5
1.652260364,0.526143049,-0.6,-0.262451064,147,5
0.628904969,0.613911728,-0.6,0.212276275,148,5
1.058132234,0.554905323,-0.6,-0.304722048,149,5
1.227910306,0.53086826,-0.6,-0.428875972,150,5
0.586546418,0.838614649,-0.6,0.34545599,151,5
0.407616059,0.870984564,-0.6,0.179895561,152,5
0.722742626,0.90830813,-0.6,-0.105241991,153,5
0.529165852,0.806373506,-0.6,0.265224271,154,5
0.504872098,0.791431933,-0.6,0.050777534,155,5
0.634625586,0.716781762,-0.6,0.178617334,156,5
1.38431179,0.778504323,-0.6,0.059119196,157,5
0.44929939,0.785419744,-0.6,0.519130031,158,5
0.817108147,0.607399047,-0.6,0.307286736,159,5
0.762213975,0.648856975,-0.6,0.28315261,160,5
2.244386225,0.694254686,-0.6,0.379741687,161,5
0.642779552,0.663258773,-0.6,0.204091338,162,5
0.888681689,0.556489855,-0.6,0.145727317,163,5
0.861459832,0.874950324,-0.6,0.393224514,164,5
2.338825985,0.763441835,-0.314285714,0.024039586,165,6
1.405285158,0.713159909,-0.314285714,0.283230671,166,6
3.362716615,0.699131596,-0.314285714,-0.082149165,167,6
1.297597421,0.727200945,-0.314285714,0.233249123,168,6
1.729092208,0.684346909,-0.314285714,0.024757839,169,6
2.689089633,0.667987619,-0.314285714,0.0379493,170,6
2.207826259,0.678698571,-0.314285714,-0.396144089,171,6
2.016800902,0.642194073,-0.314285714,-0.37610716,172,6
1.538137405,0.676448228,-0.314285714,0.030260449,173,6
